ID,Alternative Uses
R3IPuMaE,invitation card / snowball / color coordinating device / jar / lantern /
rt1cQJHC,Draw pictures on balloons and release to create a soaring art work / Deflate and use to fill with water / Detach string and use as thread / Cut apart and use for improvised shoes / flatten and use for drawing circles /
SG89f5RZ,blow it up and put rice in it to make a musical instrument / blow it up and put pudding in it for a snack holder / blow it up and use it as a pillow / Use it as a bookmark / Blow it up and use it to fill space in a planter box / use it as a condom / use it as a hair tie / cut in into pieces and create kitty litter / use it to hold breadcrumbs /
ShSCD4SA,glue them together to create a nonslip mat for a rug / packing material /
tLD4uJLr,Pop it then use the pieces for artwork / Sun shield /
upWtM3XV,confetti exploded / slingshot / murder weapon suffocation / temporary marker cap /
vUbFxArB,use them as mulch after they are popped / use them to scrub windows to remove dirty / Use them for decorations / use as a toy for adult / let the pets play with them /
vWWuV7Rl,Balloon Birthday Party / Surprise someone you love / Frozen water balloon as ice / Balloon drink stirrer /
WjInz2pD,filler for vase to keep flowers in place / instead of painting vase strap a balloon outside it / fill with sand for a stress ball / grip for pencils /
X4xdkpC1,carry water / water bottle / decoration / cover leak /
xgoSH35r,make a clown face with paint on ballot / create balloon drop / make animals from balloons / use for paper ache / decorations for wall or room / balloon tennis game / helium trick with /
XVKZEeYJ,To hold liquids / As a slingshot / To hold helium / To slap / To make a bang noise /
Y4UsUD3D,fill with water / fill with air / fill with shaving cream / fill with juice / freeze with ice / float in pool / decorate / play / pop / sit on / lean on / neck pillow / back pillow / create static / fill with fragrance and pop /
YEdpkYEK,make balloon poms poms / freeze water balloons to keep things cold / stretch them over cans and drum on them / fill with confetti blow up and use as a confetti gun / put something small inside to keep it waterproof / fill with non toxic paint for a paint fight /
ykbFpiv8,toy / ball / loud bang noise toy / blockade / punching bag / game / drawing /
zGttpJxf,finger gloves / cat startles / fake boobs / eclipse glasses / cell phone cover / mud covers for shoes / water bottle / butt cushion /
