ID,Alternative Uses
upWtM3XV,fidget toy / stress ball / paper ache / doorstep / bead storage / metal can bongos / birthday card / mantel decor mylar /
vUbFxArB,To strengthen your lungs / Use it to tie things together / You can melt a bunch together to make a rubber ball /
vWWuV7Rl,Freeze water gallons and use them to keep drinks cold at a party / Give the kids a super durable bouncy ball to play with / Make water balloon yoyo / Hang them upside down from the ceiling / Make a water balloon to end all water balloons /
WjInz2pD,condom / seal for bottles / storage for pills / decoration / making paper ache / floating lanterns in a pool / water balloons / creating yarn vase use it as a base /
X4xdkpC1,carry water / water bottle / decoration / cover leak / lift something in the air /
xgoSH35r,delivering mail or small packages / Ties for garden plants / placing liquid in them for chilling or freezing / art / make a rainbow from them / pool fun/toy while swimming /
XVKZEeYJ,To make funny noises / To wrap something / To tie something / To hold water / To make elastic bands /
Y4UsUD3D,hold water / freeze water inside / fill space / decorate / pop for noise / create static / play with dogs / play with kids / float in a pool / use in costume / draw on for art /
YEdpkYEK,use a deflated balloon as a bottle cap / fill a balloon with your favorite drink and use it as a bottle / fill the balloon with sand and make a stress ball / make a makeshift lamp shade / use as a wig holder /
ykbFpiv8,ball / toy / hit someone to joke / blockade / decoration / loud noise distractor / centrepiece /
zGttpJxf,paper ache mold / Scarecrow head / party decorations / pillows / sculpture / painting surface / map marker / car energy / noise maker /
